Konten,Kelas
" (1) http://bit.ly/2rhtadc / http://bit.ly/2mxvn7s, first draft news: “konten yang salah ketika konten yang asli dipadankan dengan konteks informasi yang salah”. * sumber membagikan video dokumentasi tahun 2014. * sumber menambahkan narasi untuk memancing premis pelintiran, spesifiknya di salah satu aspek 5w1h (when/kapan). biasa terjadi ke mereka yang tidak melihat video secara utuh karena hanya membaca judul. (2) salah satu sumber video, http://bit.ly/33ztoxj youtube: “jokowi mengundurkan diri 739k views • oct 6, 2014 kompastv 3.08m subscribers pertanggungjawaban jokowi selama 2 tahun memimpin jakarta disampaikan dalam sidang paripurna dprd dki. sebelumnya jokowi sudah mengajukan surat pengunduran diri di depan anggota dprd dki. pengunduran diri jokowi akan ditanggapi dengan pandangan fraksi, sebelum akhirnya disetujui. kompas siang, 6 oktober 2014″. sesuai dengan thumbnail video yang muncul beberapa detik di awal video yang dibagikan oleh sumber, mulai di sekitar 3:31. ====== ",FAKTA
: inalilahiwainairojiun telah meninggal dunia bpk wiranto selamat jln bpk wiranto === ,HOAX
"! kategori: false connection (konten berbeda dengan judul) === sumber: situs web berbagi video (youtube) === narasi: inalilahiwainairojiun telah meninggal dunia bpk wiranto selamat jln bpk wiranto === penjelasan: sebuah akun youtube bernama reino barack official mengunggah ulang satu video yang merupakan tayangan dari salah satu stasiun tv yakni tv one. hingga saat ini, video yang diunggah pada 10 oktober itu telah disaksikan oleh 38 ribu akun pengguna youtube lain dan mendapatkan 39 komentar.  jika melihat video asli yang diunggah oleh akun youtube resmi milik tv one yakni tvonenews, yang diberi judul “mencekam! detik-detik menko polhukam wiranto diserang pria tak dikenal”, jelas video berdurasi 11 menit 22 detik tersebut memang memperlihatkan kejadian detik-detik penyerangan terhadap menko polhukam, wiranto.  namun akun youtube reino barack official justru memberi judul “inalilahiwainairojiun telah meninggal dunia bpk wiranto selamat jln bpk wiranto” pada video tersebut. yang jika disaksikan kembali, isi dari video merupakan tayangan yang sama dengan apa yang diunggah oleh akun youtube resmi tvonenews. === kesimpulan: judul dari video “inalilahiwainairojiun telah meninggal dunia bpk wiranto selamat jln bpk wiranto” tidak sesuai dengan isi video yang sesungguhnya. selain judulnya yang tidak sesuai dengan apa yang sebelumnya diunggah oleh pemilik video yakni akun youtube tvonenews, judul tersebut juga tidak sesuai dengan fakta. lantaran tidak menggambarkan kondisi menko polhukam wiranto yang saat ini dalam kondisi stabil dan sadar di rspad. === ",FAKTA
]: “buaya makan orang di serpong bsd tangsel” ====== [,HOAX
"]: sebuah video yang menunjukkan seekor buaya di sungai menelan kaki manusia, beredar viral di media sosial. channel youtube bernama alisha channel menyebut bahwa kejadian tersebut berada di serpong, tangerang selatan. dalam rekaman berdurasi 25 detik itu terlihat buaya yang membawa jasad manusia. tulisan ‘kecamatan serpong’ terlihat di layar. dilansir dari detik.com, kapolres tangerang selatan akbp ferdi irawan memastikan bahwa informasi di video viral itu adalah berita bohong alias hoax. “hoax,” kata ferdi saat dikonfirmasi detikcom, kamis (10/10/2019). setelah ditelusuri, kejadian tragis di video itu berlokasi di buton, sulawesi tenggara. adapun, kejadian itu terjadi pada 12 april 2019 lalu. korban bernama darlin uti, diserang buaya saat memperbaiki pipa bawah air di dekat rumahnya.  video tersebut direkam oleh warga yang sedang berada di pinggir sungai. dalam rekaman video tersebut, tampak seekor buaya berenang dengan tenang. klaim yang menyebut penampakan buaya membawa jasad manusia, dalam video yang viral berada di serpong bsd, sama sekali tak didukung bukti.  hasil penelusuran foto menggunakan google reverse images menunjukkan, kejadiannya di sulawesi tenggara, bukan di serpong bsd maupun pangandaran.  ====== ",FAKTA
"  musibah yang menimpa menkopolhukam wiranto di banten cukup mengejutkan semua pihak.  pihak redaksi viva.co.id sempat membuat kekeliruan dalam judul berita yang dipublikasikan kamis, 10 oktober 2019. pasalnya, saat itu informasinya masih simpang siur, maka viva.co.id menyebut dalam judul ‘dikabarkan’.  dalam berita tersebut juga viva.co.id juga tak sengaja menulis kata ‘akan’. seharusnya judul berita tersebut adalah ‘wiranto dikabarkan ditusuk orang tak dikenal di banten’.  redaksi viva.co.id juga menegaskan berita ini diturunkan setelah peristiwa penusukan, bukan sebelum.  oleh karena itu, judul berita tersebut telah diganti dan pihak redaksi viva.co.id mohon maaf atas ketidaknyamanan para pembaca sekalian. klarifikasi ini disampaikan redaksi viva.co.id di paragraf terakhir artikel berita yang berjudul “wiranto ditusuk orang tak dikenal di banten”. berikut isi artikel berita yang diunggah pada kamis, 10 oktober 2019 | 13:27 wib tersebut ; menkopolhukam wiranto dikabarkan diserang orang tak dikenal saat berada di banten, kamis 10 oktober 2019. berdasarkan video yang beredar saat itu  wiranto yang baru keluar dari mobil tiba-tiba ditusuk orang tidak dikenal dari arah samping kiri mobil. mantan ketua dpp hanura itu langsung jatuh. teriakan pun datang dari sejumlah orang yang berada di sekitarnya. kejadian tersebut usai wiranto menghadiri acara peresmian gedung kuliah bersama di universitas mathla’ul anwar yang beralamat di kampung cikaliung, desa sindanghayu, kecamatan saketi. sementara terlihat kerumunan orang beserta aparat kepolisian langsung menangkap pelaku penusukan tersebut. sedangkan sejumlah kabar yang beredar,  pelaku diduga  akan menyasar wiranto namun karena dihalangi ajudan maka ajudan wiranto yang dikabarkan terkena. hanya saja sampai berita ini diturunkan belum ada kabar resmi dari kemenpolhukam. ",FAKTA
"  menurut kapolsek pedurungan semarang, kompol mulyadi, pria tersebut bernama syahrul yang tinggal di dempel, muktiharjo kidul, kecamatan pedurungan. “ya benar. pukul 07.00 wib tadi kami menerima laporan ada orang mencurigakan yang mengintai sd kanisius. dicurigai oleh orangtua siswa yang mengantar anaknya sekolah karena yang bersangkutan selalu mengambil video menggunakan ponsel,” tuturnya. seorang penjual makanan di depan sekolah ini menuturkan, penangkapan itu memang terjadi sekira pukul 07.00. pria diperkirakan berusia 40 tahun yang datang sejak pukul 06.30 itu lantas dicokok. “orangnya tadi berdiri di sebelah parkiran. melihat-lihat orangtua yang sedang mengantarkan anaknya ke sekolah,” kata pedagang yang meminta namanya disimpan tersebut. dia menjelaskan, pria tersebut datang mengendarai sepeda motor. tak hanya pagi ini, menurutnya pria tersebut sudah beberapa hari mengintai sekolah tersebut. “dia kalau datang selalu pakai motor. pagi tadi pakai baju hitam-hitam,” paparnya. pedagang ini tak tahu pasti motif pria itu mengintai sd kanisius. keributan pernah terjadi beberapa hari lalu karena si pria mengambil gambar seorang ibu yang tengah mengantarkan anaknya ke sekolah memakai ponsel. kemudian pria tersebut menunjukkan layar ponselnya seolah senang sudah merekam wanita tersebut. ketika wanita itu menegurnya, pria tersebut marah dan mencari-cari ibu tersebut. “jadi bapak itu merekam dengan handphonenya, kemudian ditegur oleh ibu-ibu itu. bapak itu tidak terima, langsung mencari terus sampai tadi pagi,” lanjutnya. dia menduga pria tersebut mengalami gangguan jiwa. “saya tahu tadi pagi, beli di warung saya. tampaknya orang stres,” tutur dia. adapun kompol mulyadi menjelaskan, seusai mendapat laporan dari warga, pukul 07.30 wib aparat polsek pedurungan mendatangi sekolah. mereka melihat syahrul sedang adu mulut dengan warga sekitar. “setelah kami amankan, syahrul kami cecar beberapa pertanyaan. berdasarkan pengakuannya, dia melakukan pemantauan dan memotret kegiatan sekolah karena almarhum istrinya pernah bekerja di tempat tersebut. ia meyakini almarhum istrinya beberapa kali datang ke sd kanisius,” beber kompol mulyadi. saat terjadi penangkapan, syahrul mengendarai sepeda motor supra berpelat nomor h5633jh. barang-barang yang dibawa adalah sim c, atm mandiri, stnk, dan beberapa lembar uang. “untuk menindaklanjuti, petugas unit intelkam polsek pedurungan mendatangi rumah ketua rt tempat syahrul tinggal. berdasarkan pengakuan ibu kisno ketua rt, syahrul benar tinggal di kampung tersebut. sekitar tahun 2016, istri syahrul meninggal dunia akibat kecelakaan di wilayah tugu semarang barat. sejak kejadian tersebut, syahrul mengalami gangguan jiwa,” terangnya. mengutip ketua rt, ia menambahkan syahrul kerap kali mengajak tetangga berkelahi walau tidak ada permasalahan apapun. petugas juga menemui ibu kandung syahrul, nur lis. pengakuan yang sama juga diutarakan nur saat dimintai keterangan mengenai kondisi anaknya tersebut. “ibunya mengaku sudah beberapa kali mengajak syahrul untuk berobat ke rumah sakit jiwa. hingga saat ini belum sempat karena yang bersangkutan selalu menolak. kami juga sempat menggeledah kamar syahrul dan tidak menemukan benda-benda yang mencurigakan. kami tidak melakukan penahanan, tapi tetap akan kami pantau supaya tidak terjadi hal-hal yang tak diinginkan,” tandas kompol mulyadi. ",FAKTA
 sebagai berikut :  “kerjaan buzzer jkwi…katanya rajin sholat smpe jidat item..trnyta pelaku penusukan dukun pribadinya jokowi…wkwkkwk aktingnya ketahuan..besok bikin akting lg..kmren ninoy…skrg penusukan wiranto..hhh klo bener teroris yg melakukan enak langsung pake bom pasti..ngapain pake pisau…pisau ninja pula tuh..jngan2 pisau buag potong pisangku digerai anak presiden” sumber : https://perma.cc/8y9x-azgh (arsip) – komentar di https://perma.cc/24l9-j5ap (arsip) ============================================= ,HOAX
"  berdasarkan hasil penelusuran, faktanya 2 orang pria di gambar tersebut adalah 2 orang yang berbeda.  pria berbaju putih tersebut adalah abdi setiawan, menantu wiranto, suami dari amalia sianti atau yang dikenal sebagai lia wiranto. foto abdi setiawan tersebut tampak diambil dari foto ketika keluarga wiranto berkumpul di pemakaman putra abdi setiawan dan lia wiranto, achmad daniyal alfatih pada jumat (16/11/2018). sementara itu, pria berbaju hitam yang disebut sebagai pelaku penusukan terhadap wiranto adalah syahril amansyah alias abu rara. abu rara merupakan pria kelahiran desa tanjung mulia hilir, kecamatan medan deli, kota medan, sumatra utara.  abu rara ditangkap bersama istrinya yang berinisial fa (21) warga desa sitanggai kecamatan karangan, kabupaten brebes. keduanya merupakan warga dari luar banten yang belum lama mengontrak di kampung sawah, menes, pandeglang, banten. ",FAKTA
"]: beredar di media sosial facebook informasi kesehatan yang menyebut bahwa mengkonsumsi buah-buahan saat perut kosong dapat menyembuhkan kanker. makan buah dalam kondisi perut kosong (sebelum makan) diklaim sebagai penyembuhan alami bagi tubuh terhadap penyakit. hal itu diperkuat dengan mencatut nama dua orang dokter yaitu  dr stephen mak dan dr herbert sheltonsetelah ditelusuri, dilansir dari sekoci hoaxes informasi tersebut awalnya beredar melalui email yang muncul dari sebuah artikel lama di situs epicureanworld.com.sg yang ditulis pada tahun 1998 oleh devagi sanmugam, koki dan penulis kuliner yang tinggal di singapura. artikel yang dirilis berjudul “we all think eating fruits means just buying fruits… “ menyebutkan bahwa buah-buahan harus dimakan pada kondisi perut kosong; tanpa menyebutkan nama dr stephen mak ( namun menyebutkan nama dr herbert shelton) dan tidak mengatakan menyembuhkan kanker juga tidak menyebutkan daftar buah-buahan – diet sehat yang disarankan selama 3 hari untuk membersihkan atau detoksifikasi tubuh anda. kemudian dalam informasi tersebut terdapat dua nama dokter yang dicantumkan yaitu, dr stephen mak dan dr herbert shelton. setelah ditelusuri, didapatkan sebuah artikel yang diterbitkan pada february 2010 di situs yellowstar essentials blog, artikel tersebut terlihat jelas menggabungkan cerita dari devagi sanmugam.  artikel ini dinyatakan sebagai email yang diterima dari seorang teman karib (dr. stephen mak) di bsf. namun, kami tidak menemukan kutipan secara online yang kredibel tentang dr. stephen mak.kemudian nama dr herbert shelton yang disebutkan dalam artikel yang ditulis sanmugam dikatakan telah melakukan penelitian waktu yang tepat mengkonsumsi buah-buahan, sebagai rahasia kecantikan, umur panjang, energi, kebahagiaan dan berat badan ideal. namun, faktanya herbert m shelton bukan seorang dokter, ia merupakan seorang naturopath amerika, advokat pengobatan alternatif, dan penulis. ia pernah beberapa kali ditangkap dan dipenjara juga didenda atas beberapa tuduhan, seperti praktek kedokteran tanpa lisensi. kesimpulannya klaim bahwa makan buah-buahan dalam kondisi perut kosong bermanfaat menyembuhkan kanker tidak terbukti (hoax). cerita yang beredar berdasarkan gabungan artikel berbeda dengan dua nama, tidak ada keterangan siapa dr stephen mak dan herbert shelton bukanlah seorang dokter. ====== ",FAKTA
" foto dan keterangan yang digunakan oleh situs tersebut benar adanya. namun bukan menggambarkan kondisi bernard abdul jabbar saat ini. foto tersebut sudah diunggah ke internet sejak januari 2019. salah satu yang mengunggah foto tersebut adalah situs detik.com yang sekaligus memberitakan kondisi bernard abdul jabbar yang saat itu menjadi ketua panitia reuni 212. ketum pa 212, slamet maarif mengatakan saat itu bernard dirawat di rs pon selama lima hari. bernard dirawat karena mengalami pembengkakan di jantung.  kabar mengenai bernard dirawat di rumah sakit sebelumnya disampaikan oleh ketua media center pa 212 novel bamukmin. novel mengatakan setiap harinya kondisi bernard terus membaik. kondisi kesehatan ketua panitia reuni 212 ustaz bernad abdul jabbar sudah membaik. bernard pun sudah diperbolehkan pulang dari rumah sakit pusat otak nasional (pon), cawang, jakarta timur. “alhamdulillah sudah pulang hari ini,” kata ketum pa 212, slamet maarif, lewat pesan singkat, kamis (10/1/2019) malam. sementara itu, terkait pengajuan penangguhan penahanan bernard ke polda metro jaya, anggota tim hukum front pembela islam, azis yanuar, mengatakan bahwa pengajuan penangguhan penahanan tersebut telah diajukan siang tadi. “tadi siang sudah kita masukkan sesuai prosedur kepada kapolda hingga ke tingkat penyidik sudah kita masukan, beserta jaminan dari istrinya,” kata azis di polda metro jaya, rabu (9/10). azis menuturkan pihaknya juga turut menyertakan bukti bahwa bernard saat ini dalam kondisi sakit. menurut azis, kemarin malam kondisi bernard bahkan agak pincang dan sulit untuk berbicara. “dan memang sedang perawatan dan kami sangat khawatir kalau misalnya penahanan ini dilanjutkan, karena takutnya semakin memburuk,” tutur azis. ia kemudian berkata, “(penyakitnya) stroke dan diabetes dan kita khawatir terjadi hal-hal yang buruklah seperti itu.” sebelumnya, penyidik polda metro jaya menetapkan bernard sebagai tersangka kasus penculikan dan penganiayaan terhadap pegiat media sosial, ninoy karundeng. dalam kasus ini, polisi total telah menetapkan 13 orang tersangka. dari 13 tersangka itu, 12 di antaranya saat ini menjalani masa penahanan. polisi menjerat 13 tersangka itu dengan pasal 170 kuhp dan pasal 335 kuhp. ",FAKTA
" bahwa negara sedang memanas dan melihat truk membawa rudal. faktanyanya berdasarkan penelusuran, foto tersebut diambil dari salah postingan akun twitter tmc polda metro jaya dengan informasi “imbas truk muatan paku bumi yg mengalami gangguan di layang km 28 (lenteng agung), lalu lintas tol jorr dari km 44 (cikunir) padat” (6 juli 2017). ====== [kategori]: konten yang menyesatkan ====== [sumber]: media sosial https://web.archive.org/web/20191009101743/https://www.facebook.com/jjat1313/posts/3036232523059454 ====== [narasi]:  negara semakin memanas. tadi siang lihat truk bawa rudal banyak, semoga saja tidak terjadi perang… ====== [",HOAX
"]: sebuah akun facebook bernama jajat sudrajat membagikan postingan berupa foto sebuah truk bermuatan berat yang disertai narasi yang menyebutkan negara semakin memanas, tadi siang lihat truk bawa rudal banyak, semoga tidak terjadi perang. postingan itu ia unggah pada 7 oktober 2019. setelah ditelusuri menggunakan tools pencarian google reverse image, diketahui bahwa foto truk yang diklaim bermuatan rudal itu diambil dari salah satu postingan foto dari akun twitter milik tmc polda metro jaya (@tmcpoldametro). dalam postingannya tmc polda metro jaya berisi seperti berikut: “08.46 imbas truk muatan paku bumi yg mengalami gangguan di layang km 28 (lenteng agung), lalu lintas tol jorr dari km 44 (cikunir) padat” tercata postingan itu dibagikan pada 6 juli 2017. jadi kesimpulannya, klaim akun jajat sudarajat yang menyebutkan foto truk mengangkut rudal adalah menyesatkan, karena faktanya foto itu adalah foto truk pengangkut paku bumi yang mengalami mogok di jalan layang km 28 (lenteng agung). ====== ",FAKTA
":  “ketua kpu imbau masyarakat hormati hasil pemilu walau banyak kecurangan,” unggah akun facebook vanessa yumi atau @vanessa.yumi.98, selasa (8/10). =====  ",HOAX
": akun facebook vanessa yumi atau @vanessa.yumi.98 membuat unggahan berupa screenshot gambar berita media daring republika.co.id. dalam gambar tersebut tertulis tajuk “ketua kpu imbau masyarakat hormati hasil pemilu walau banyak kecurangan”. masih dalam gambar itu, terdapat juga tulisan yang berbunyi “mantab!!! satu2nya di dunia ada negara minta rakyatnya hormati “perampokan” brutal!! #rezimkeblinger”. selain itu, akun @vanessa.yumi.98 menambahkan narasi yang berbunyi “gila loe pada…,” tulisnya, selasa (8/10). setelah dilakukan penelusuran, diketahui gambar yang diunggah akun @vanessa.yumi.98 adalah suntingan dari berita republika.co.id yang berjudul “ketua kpu imbau masyarakat hormati hasil pemilu 2019”. berita ini ditulis oleh dian erika nugraheny yang ditayangkan pada jumat, 31 mei 2019. berikut isi berita lengkapnya: republika.co.id, jakarta — ketua komisi pemilihan umum (kpu), arief budiman, mengimbau masyarakat untuk menghormati hasil pemilu 2019. semua pemimpin yang terpilih lewat pemilu perlu didukung untuk memimpin indonesia lima tahun mendatang.  “pemilu 2019 sudah kita laksanakan, puasa ramadhan sudah kita tunaikan. jadi mari sama-sama kita raih kemenangan untuk semua, karena sebetulnya ini kemenangan bersama. siapa pun yang terpilih, mereka adalah pemimpin kita, mau 01 mau 02, mau partai nomor 1, 2, 3, sampai 20,” ujar arief kepada wartawan di kantor kpu, menteng, jakarta pusat, jumat (31/5). dia melanjutkan, suka atau tidak suka, para peserta pemilu terpilih akan memimpin indonesia dalam lima tahun ke depan. baik di tingkat eksekutif maupun legislatif di pusat hingga daerah telah terpilih berdasarkan suara terbanyak.  “mereka yang akan memimpin kita lima tahun ke depan. ya mari kita sama-sama jaga supaya lima tahun ke depan cita-cita bangsa ini bisa dicapai,” tambah arief. diketahui juga, suntingan berita dari republika.co.id ini adalah pengulangan dari yang pernah dipriksa oleh mafindo pada kamis, 6 juni 2019.===== ",FAKTA
 sebagai berikut : “hong kong protestor anti-face recognition device” atau yang jika diterjemahkan ke bahasa indonesia artinya : “perangkat anti pengenalan wajah demonstran hong kong” sumber : https://perma.cc/ng9t-nmuk (arsip) – sudah diretwit 1200 kali saat tangkapan layar diambil. ============================================= ,HOAX
"  perangkat anti pengenalan wajah yang diunggah akun twitter the unexplained merupakan karya lima siswa sekolah seni utrecht, belanda. tidak ada kaitannya dengan para demonstran di hongkong. memanfaatkan situs padanan gambar, versi panjang dan lengkap video itu pernah diunggah kanal youtube marcel coufreur-blaauwendraad pada 29 maret 2017. judulnya berbunyi, hku design-anonymous (english). isinya menjelaskan bahwa kamera (termasuk kamera pengawas) dan berbagai teknologi lainnya tidak hanya menciptakan keamanan. data yang terkumpul dari teknologi itu terkadang juga dimanfaatkan untuk kepentingan bisnis dan menguntungkan pihak tertentu saja. sisi negatif dari teknologi semacam itu adalah terganggunya privasi publik. karena itu, para desainer menciptakan sejumlah produk untuk melawan pelanggaran privasi. produk tersebut bisa melindungi data, emosi, pemikiran, dan opini. bentuknya macam-macam. ada yang berupa topeng privasi transparan, syal yang bisa mengacaukan fokus kamera detektor wajah, proyektor yang bisa mengganti wajah penggunanya, dan lain-lain. kanal marcel coufreur juga membuat pernyataan tambahan untuk menanggapi viralnya potongan video yang mengklaim produk face projector diciptakan untuk demonstran hongkong. dijelaskan bahwa produk itu dibuat lima pelajar di sekolah seni utrecht, belanda, pada 2017. mereka adalah jing-cai liu, sanne weekers, joppe besseling, jip van leeuwenstein, dan marcel coufreur. sejak awal pembuatan hingga sekarang, produk itu tidak diniatkan untuk masalah politik sebuah negara. mereka meminta pihak-pihak lain menempatkan karya tersebut dalam konteks yang benar dan tidak digunakan dalam pernyataan politik apa pun penjelasan serupa diunggah situs resmi hku.nl. judulnya, hku design in milan–anonymous 2017. dalam penjelasannya, produk itu dibuat untuk proyek hogeschool voor de kunsten, utrecht, atau sekolah seni di belanda. karya mereka telah dipresentasikan dalam acara desain internasional di ventura lambrate, via privata oslavia, italia. sasaran produk itu meliputi departemen keamanan hingga industri periklanan. salah satu tujuannya melindungi para pengguna produk dari pelanggaran privasi. ",FAKTA
" sebagai berikut : “ternyata benar pridiksi,ma”ruf amin hanya buat cari suara doang setelah itu akan di ganti..” sumber : https://perma.cc/7mwh-27re (arsip) – sudah dibagikan 90 kali saat tangkapan layar diambil. ============================================= ",HOAX
"  setelah ditelusuri, isi artikel darikabarislamnews[dot]com dengan judul “kh. ma’ruf amin akan mengundurkan diri setelah di lantik” menyajikan berita kh.ma’ruf amin mengundurkan diri sebagai ketua mui, bukan sebagai wakil presiden seperti yang tersirat dalam narasi unggahan tersebut. berikut isi lengkap artikel tersebut : “kh. ma’ruf amin sudah ditetapkan sebagai wakil presiden pemenang pemilu 2019 mendampingi  jokowi widodo sebagai presiden terpilih periode 2019-2024. sebagai wakil presiden terpilih, saat ini ma’ruf amin  masih menjabat sebagai ketua majelis ulama indonesia (mui). ma’ruf mengatakan, bahwa dirinya akan mengndurkan diri sebagai ketua majelis ulama indonesia (mui) setelah dirinya di lantik menjadi wakil presiden. ma’ruf amin mengatakan, selama belum dilantik dia tidak bisa di katakan merangkap jabatan. sebaliknya jika sudah dilantik, dia akan melepas jabatan tersebut karena tidak diperbolehkan. “tidak boleh itu kan merangkap jabatan. kalau sudah jadi wapres, saya harus mundur,” kata ma’ruf di kantor mui, jakarta, selasa (2/7). “kalau sekarang kan belum. wakil presidennya masih pak jk,” sambungnya. sebelumnya, ma’ruf amin sudah menyatakan mundur dari rais aam pb nu setelah ditetapkan sebagai cawapres mendampingi joko widodo. namun saat itu, ma’ruf menyatakan tetap menjadi ketua umum majelis ulama indonesia (mui) dan baru akan mundur jika terpilih menjadi wakil presiden. “mui peraturan beda. dia tidak boleh merangkap, jadi mungkin nanti saya mengundurkan diri pada saat saya sudah ditetapkan sebagai wapres,” ujar ma’ruf usai rapat pleno di kantor pbnu, jakarta pusat, sabtu (22/9). menurut ma’ruf, aturan di mui tidak mewajibkan ketua umum mengundurkan diri saat masih berstatus sebagai calon wakil presiden. “(mundur kalau) sudah terpilih. aturannya gitu,” ucapnya. kh ma’ruf amin resmi mengundurkan diri dari jabatannya sebagai rais aam pbnu dua hari setelah ditetapkan kpu sebagai calon wakil presiden mendampingi joko widodo. menurut jadwal, rencananya  pasangan presiden dan wakil presiden terpilih periode 2019-2024, joko widodo dan ma’ruf amin akan dilantik pada 20 oktober 2019 mendatang.” sementara itu, wakil ketua umum mui, yunahar ilyas menjelaskan menurut aturan pihaknya akan menunggu hingga ma’ruf menyatakan mundur dari jabatannya di mui. setelahnya, wakil ketua umum akan menjabat sebagai plt ketum. “kalau pak kiai sudah menyatakan mundur, di anggaran dasarnya dinyatakan wakil ketua umum langsung menjabat ketua umum sampai munas (musyawarah nasional). munas sekitar agustus 2020. di munas nanti baru dipilih siapa ketua umum mui-nya,” kata yunahar. lebih lanjut, yunahar juga menyatakan mui sebenarnya sudah menganggap jabatan maruf sebagai wapres sudah resmi, namun karena belum dilantik maka belum ada aturan yang terlanggar. “ini kan sudah resmi tapi belum dilantik. itu pak kiai saja yang menafsirkan. enggak enak kita yang menafsirkan,” tambahnya. sebelumnya, wakil ketum mui lainnya, zainut tauhid saidi pernah menyatakan pergantian ketua umum mui baru mulai dibahas apabila ma’ruf amin sudah resmi dilantik sebagai wakil presiden ri. “pastinya menunggu sampai beliau, bukan hanya ditetapkan [sebagai wapres] oleh kpu, tapi pas dilantik sebagai wapres, untuk menyatakan pengunduran dirinya,” kata zainut saat berbincang kepada cnnindonesia.com, jumat (31/5). lebih lanjut, zainut sendiri menegaskan ma’ruf sendiri harus mengundurkan diri dari kursi ketua umum mui apabila sudah resmi menjadi wakil presiden. aturan itu, kata dia, sudah tertuang dalam anggaran dasar dan anggaran rumah tangga (ad/art) mui. meski begitu, zainut mengatakan saat ini pihaknya belum menentukan kandidat terkuat untuk menggantikan ma’ruf mengisi kursi ketua umum mui. ",FAKTA
 “assik di atas penderitaan rakyat..” ====== ,HOAX
" (1) http://bit.ly/2rhtadc / http://bit.ly/2mxvn7s, first draft news: “konten yang salah ketika konten yang asli dipadankan dengan konteks informasi yang salah”. * sumber membagikan video dokumentasi hut pdip ke 45, diselenggarakan pada 10 januari 2017 lalu. * sumber menambahkan narasi yang tidak sesuai dengan konteks yang sesungguhnya sehingga memancing premis pelintiran, spesifiknya di salah satu aspek 5w1h (when/kapan). (2) salah satu artikel yang terkait, detiknews: “foto: biro pers setpres. hut pdip dilangsungkan di jcc, senayan, jakarta, rabu (10/1/2017). joget maumere terjadi di pengujung acara. presiden jokowi, wapres jk, ketua umum pdip megawati soekarnoputri, menko pmk puan maharani kemudian berdiri dari tempat duduk mereka. mereka berjoget.” selengkapnya di http://bit.ly/35paw1c / http://archive.fo/dh1aa (arsip cadangan). ====== ",FAKTA
" yang mengklaim fpi sudah berada di wamena.  narasi selengkapnya : 1. “defacto ini fpi sudah masuk wamena utk mengibarkan bendera merah putih, menurunkan bendera kejora, melindungi warga pendatang yg dibantai dan diusir. luar biasa daripada yg koar2 sok nkri tapi hobinya hy mbubarin pengajian di masjid doang hy ngaku sok nkri giliran ada bahaya negara yang mengancam jiwa dan raga anak bangsa malah mlempem, katanya nggak ada jatah anggaran.semoga yg sering teriak jagoan nkri dsb berani berbuat yg sama.”  sumber : https://perma.cc/g3rv-xxc8 (arsip) – sudah dibagikan 1.011 kali saat tangkapan layar diambil. 2. “di saat banser masih main tentara tentaraan dg lari2 di sawah sambil main petasan.fpi sdh berada di papua dg posko jihad & pasukan berani matinya.posko yg bermoto: ganyang opm.” sumber : https://perma.cc/8she-fzqj (arsip) – sudah dibagikan 1.378 kali saat tangkapan layar diambil. ============================================= ",HOAX
